STATE,FY_CLIPPED,STATE_YEAR_COAL_PRICE_MMBTU,STATE_YEAR_ELECTRICITY_PRICE_MMBTU,STATE_YEAR_NATURAL_GAS_PRICE_MMBTU,STATE_YEAR_PETROLEUM_PRICE_MMBTU,STATE_YEAR_TOTAL_PRICE_MMBTU,STATE_YEAR_ELEC_GAS_RATIO,CURRENT_PRICE_YEAR,CURRENT_COAL_PRICE_MMBTU,CURRENT_ELECTRICITY_PRICE_MMBTU,CURRENT_NATURAL_GAS_PRICE_MMBTU,CURRENT_PETROLEUM_PRICE_MMBTU,CURRENT_TOTAL_PRICE_MMBTU,CURRENT_ELEC_GAS_RATIO
CT,2007,0.0,37.87,10.29,18.37,20.82,3.6802721088435373,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,2008,0.0,43.75,12.38,26.72,24.9,3.533925686591276,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,2009,0.0,43.92,8.25,15.21,18.17,5.323636363636364,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,2010,0.0,42.52,9.36,19.33,19.89,4.5427350427350435,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,2011,0.0,38.8,8.91,23.9,20.05,4.354657687991021,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,2012,0.0,37.14,8.56,24.96,19.3,4.3387850467289715,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,2013,0.0,36.95,6.72,23.8,17.76,5.498511904761905,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,2014,0.0,37.85,7.85,23.81,18.71,4.821656050955414,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,2015,0.0,37.97,6.18,19.89,16.95,6.144012944983819,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,2016,0.0,37.55,5.91,15.29,15.55,6.353637901861251,2024,0.0,50.18,6.61,21.58,,7.591527987897125
