ARC,ARC_2DIGIT,impl_rate,n_recs,median_benchmark_energy,median_benchmark_dollar,median_technical_total,median_real_historical_value,median_state_year_standardized_value,median_current_value,sector_mode,primary_source_group_mode,primary_fuel_bucket_mode
2.4321,2.4,0.46543778801843316,217,246.817256,6450.0,246.817256,6846.0,4252.71161376,5999.81256576,Unknown,electricity,electricity
2.4324,2.4,0.28365384615384615,208,155.46266200000002,3695.0,155.46266200000002,4266.9691188040915,3501.2300610200004,5122.7284294408,Chemical/Plastics/Paper/Rubber,electricity,electricity
2.4235,2.4,0.5376884422110553,199,141.533172,2347.0,141.533172,2650.0,2679.0856811999997,3159.39271648,Metal/Machinery/Electronics,electricity,electricity
2.4222,2.4,0.46153846153846156,117,149.998344,3587.0,149.998344,3910.0,3087.3509295999997,3473.7225340799996,Chemical/Plastics/Paper/Rubber,electricity,electricity
2.4112,2.4,0.4224137931034483,116,64.19678,5017.5,64.19678,5017.5,1203.5159712599998,1446.19703026,Chemical/Plastics/Paper/Rubber,electricity,electricity
2.4227,2.4,0.651685393258427,89,60.00002,1420.0,60.00002,1546.0,1257.3902400000002,1598.2918606,Metal/Machinery/Electronics,electricity,electricity
2.4113,2.4,0.18666666666666668,75,344.540348,5176.0,344.540348,6027.246780328205,6218.9532814,7575.49327296,Chemical/Plastics/Paper/Rubber,electricity,electricity
2.4225,2.4,0.3783783783783784,74,216.148494,4071.5,216.148494,4235.421346723623,3740.6373572,5014.336616,Metal/Machinery/Electronics,electricity,electricity
2.4237,2.4,0.40625,64,209.851648,4424.5,209.851648,4962.5,3295.6508511800002,4452.69877738,Metal/Machinery/Electronics,electricity,electricity
2.4234,2.4,0.3793103448275862,58,143.488248,2252.0,143.488248,2563.2106512823175,2167.99573546,2978.3944076400003,Metal/Machinery/Electronics,electricity,electricity
2.4223,2.4,0.34545454545454546,55,116.601688,3553.0,116.601688,3614.0,3960.5794834,5025.96239184,Metal/Machinery/Electronics,electricity,electricity
2.4238,2.4,0.5106382978723404,47,103.001456,1786.0,103.001456,1866.0,1300.9232656,2005.3310068000003,Metal/Machinery/Electronics,electricity,electricity
2.4156,2.4,0.7209302325581395,43,321.676536,6454.0,321.676536,6607.0,5550.3829704,6700.7988216,Metal/Machinery/Electronics,electricity,electricity
2.4313,2.4,0.45454545454545453,33,181.64923313999998,4668.0,181.64923313999998,4752.593966313142,3513.0961689276,4269.52987356,Utilities,electricity,electricity
2.4311,2.4,0.4,30,164.709182,4676.5,164.709182,5636.574546802311,3055.94306016,7246.91868124,Unknown,electricity,electricity
2.4134,2.4,0.1111111111111111,27,0.0,22438.0,1938.998656,36991.63174397032,32638.336202159997,45053.07361308,Unknown,electricity,electricity
2.4152,2.4,0.5909090909090909,22,94.220674,1607.5,94.220674,1676.6073591631298,1570.0792268,1794.9038397000002,Chemical/Plastics/Paper/Rubber,electricity,electricity
2.4325,2.4,0.11764705882352941,17,210.291796,4792.0,210.291796,5663.384887786924,4157.30445088,4870.35799536,Metal/Machinery/Electronics,electricity,electricity
2.4154,2.4,0.5,16,126.20476199999999,2669.0,126.20476199999999,2717.3678869086925,2242.36749184,2872.42038312,Unknown,electricity,electricity
2.4145,2.4,0.3076923076923077,13,239.44051199999998,8920.0,239.44051199999998,8920.0,7999.9826496,11009.070488000001,Food/Beverage/Tobacco,electricity,electricity
2.5194,2.5,0.32857142857142857,140,597.500812,10456.5,597.500812,11087.262142993814,7136.423291839999,9985.08004634,Unknown,electricity,electricity
2.5123,2.5,0.36,125,360.32426000000004,5887.0,360.999836,6626.95675379868,4679.8077925200005,7547.182441800001,Unknown,electricity,electricity
2.5195,2.5,0.2558139534883721,43,628.531344,14598.0,1043.8058640000002,14598.0,12413.494044000001,17484.600000000002,Unknown,electricity,electricity
2.5111,2.5,0.2564102564102564,39,2454.0,16518.0,2454.0,18819.689429477934,17392.199999999997,14658.0,Chemical/Plastics/Paper/Rubber,natural_gas,steam_or_thermal
2.5121,2.5,0.25,36,281.9748452,8670.0,281.9748452,11317.137048745313,4890.82098768,8320.09628488,Unknown,electricity,electricity
2.5122,2.5,0.5757575757575758,33,200.547124,4089.0,200.547124,4264.025333618511,3649.9576567999998,3819.92179648,Unknown,electricity,electricity
2.5192,2.5,0.3,30,5306.5,23829.0,5306.5,23829.0,23498.6,27337.550000000003,Unknown,natural_gas,steam_or_thermal
