ARC,ARC_2DIGIT,n_recs,energy_frac_q75,energy_frac_q90,value_frac_q75,value_frac_q90,energy_p25,energy_median,energy_p75,current_value_median,benchmark_dollar_median,payback_median,impl_rate_hist
2.2626,2.2,36,0.03682455925265185,0.0951095708755195,0.08316827054562742,0.1416205037812448,132.920431,414.69959800000004,819.500131,9112.82753576,6816.0,1.25075268667035,0.3055555555555556
2.2628,2.2,328,0.03660025791441336,0.10565097323813426,0.06518695790352014,0.16094473177323781,106.234326,362.49941,1167.85460026,8560.33844628,7443.0,1.2051455653351,0.2682926829268293
2.2691,2.2,95,0.02680851736113684,0.059516437540775124,0.04549284042144801,0.12174039817209828,124.787076,325.5048,1024.31652,8860.91561784,6054.0,1.56701660417785,0.3894736842105263
2.2692,2.2,65,0.055326018331429576,0.1182857094607832,0.0813198128443965,0.19460460774157018,211.479172,742.908408,2500.09498,15499.584580800001,16970.0,1.6572301150215,0.16923076923076924
2.2693,2.2,17,0.04824994431701049,0.05382834624475854,0.10487086784681372,0.12991508854219647,756.000252,1492.674936,7849.998636,46967.02617600001,28169.0,2.87067899158955,0.058823529411764705
2.2694,2.2,56,0.016035578288372748,0.03808719786098455,0.037032466399242035,0.05579613979532081,75.389846,212.49936,395.090834,5095.246395600001,2829.5,0.25673940949936,0.44642857142857145
2.2696,2.2,33,0.016491361692140244,0.04339206929919101,0.03004620610488395,0.051535300560337255,114.179168,299.9148,1697.702016,6727.48693968,6591.0,0.8433830845771151,0.3333333333333333
2.2711,2.2,62,0.03637924453993388,0.06952791538621614,0.03983275539214135,0.07566843040926563,76.2582,231.500468,1379.25,3260.29801576,2322.5,0.958363200046395,0.4032258064516129
2.3113,2.3,14,0.04290626192449473,0.06544864429710162,0.07107596444860881,0.2114933086012215,121.378488,870.29228896,4138.6519339999995,21086.5264058088,30164.0,5.144686688747051,0.14285714285714285
2.3131,2.3,143,0.022058673761562127,0.05144103675049987,0.04376384440285293,0.08496185915093944,61.999452000000005,164.570996,432.66207199999997,4119.21202988,4060.0,0.71994240460763,0.40559440559440557
2.3132,2.3,13,0.01234367324392698,0.028059870394998642,0.04240681901831866,0.06367833646705293,62.453248,125.998336,624.764496,3153.73835008,4552.88,0.29365588686943,0.6153846153846154
2.3136,2.3,17,0.007716406372639036,0.01793829638353372,0.018076975017621417,0.03372791625022047,15.998868,73.99945600000001,84.000028,1433.3694627200002,835.0,0.16666666666667,0.17647058823529413
2.3137,2.3,22,0.04900493686787382,0.07200295220394978,0.08916461035069037,0.23918561866490778,255.249161,563.88418,927.48699668,11017.7891716,9639.5,0.22244466688911,0.4090909090909091
2.3141,2.3,21,0.08913297499415751,0.4130137350304514,0.16409825808304587,0.6393255132015714,55.902208,127.765752,832.855552,7530.76359072,21335.0,,0.14285714285714285
2.3191,2.3,109,0.06999998785186425,0.07805555058447075,0.10541357743945834,0.1423872035112223,233.087368,785.324016,2109.243808,16490.326338400002,17445.0,0.787247052213215,0.5321100917431193
2.3192,2.3,56,0.07729879624644698,0.33491171408996123,0.1767198443732336,0.6666412821867334,69.392403,261.87100000000004,1074.033625,6099.367970000001,22254.5,2.4948968019959,0.26785714285714285
2.3212,2.3,102,0.02385408909444671,0.07027189556864749,0.05119697482149483,0.12701777870806347,73.062009,236.748444,884.109763,6765.36862,6552.0,1.8928600331877,0.24509803921568626
2.3311,2.3,16,0.09214702525010782,0.13684112659038208,0.12681751270218608,0.24556171961645357,329.821833,796.613288,1969.223858,30904.493497400003,17512.0,2.12,0.4375
2.3312,2.3,23,0.04936601090000417,0.10721206132425817,0.1312360882485706,0.20805317094125933,111.830006,564.9623720000001,1150.0009519999999,17312.14857424,14209.0,2.2066062396035,0.21739130434782608
